epoch=  161  step= 2100  Loss=1.0772  cls_acc=91.90  best_map=45.25
[0.7168 0.6595 0.5689 0.4796 0.3610 0.2483 0.1441]
epoch=  165  step= 2150  Loss=1.0731  cls_acc=91.90  best_map=45.40
[0.7173 0.6566 0.5608 0.4739 0.3575 0.2410 0.1450]
epoch=  169  step= 2200  Loss=1.0681  cls_acc=91.90  best_map=45.40
[0.7106 0.6588 0.5677 0.4799 0.3566 0.2427 0.1410]
epoch=  173  step= 2250  Loss=1.0724  cls_acc=90.00  best_map=45.40
[0.7111 0.6549 0.5658 0.4795 0.3573 0.2473 0.1453]
epoch=  176  step= 2300  Loss=1.0483  cls_acc=90.48  best_map=45.40
[0.7137 0.6584 0.5629 0.4797 0.3603 0.2445 0.1418]
epoch=  180  step= 2350  Loss=1.0486  cls_acc=90.95  best_map=45.40
[0.7147 0.6626 0.5687 0.4784 0.3613 0.2447 0.1465]
epoch=  184  step= 2400  Loss=1.0432  cls_acc=91.90  best_map=45.40
[0.7200 0.6638 0.5687 0.4846 0.3626 0.2481 0.1466]
epoch=  188  step= 2450  Loss=1.0228  cls_acc=92.38  best_map=45.64
[0.7131 0.6602 0.5683 0.4778 0.3594 0.2429 0.1444]
epoch=  192  step= 2500  Loss=1.0277  cls_acc=91.43  best_map=45.64
[0.7208 0.6642 0.5714 0.4854 0.3632 0.2474 0.1481]
epoch=  196  step= 2550  Loss=1.0251  cls_acc=93.33  best_map=45.72
[0.7199 0.6627 0.5711 0.4862 0.3625 0.2497 0.1497]
epoch=  199  step= 2600  Loss=1.0046  cls_acc=91.90  best_map=45.74
[0.6952 0.6440 0.5529 0.4638 0.3439 0.2293 0.1370]
epoch=  203  step= 2650  Loss=1.0123  cls_acc=88.57  best_map=45.74
[0.7061 0.6546 0.5630 0.4737 0.3521 0.2378 0.1416]
epoch=  207  step= 2700  Loss=1.0012  cls_acc=88.57  best_map=45.74
[0.7189 0.6648 0.5711 0.4843 0.3621 0.2454 0.1458]
epoch=  211  step= 2750  Loss=0.9923  cls_acc=91.43  best_map=45.74
[0.7203 0.6656 0.5714 0.4840 0.3629 0.2467 0.1490]
epoch=  215  step= 2800  Loss=1.0040  cls_acc=90.95  best_map=45.74
[0.7231 0.6674 0.5734 0.4797 0.3603 0.2469 0.1499]
epoch=  219  step= 2850  Loss=0.9903  cls_acc=91.90  best_map=45.74
[0.7268 0.6706 0.5769 0.4850 0.3657 0.2469 0.1478]
epoch=  223  step= 2900  Loss=0.9683  cls_acc=92.38  best_map=46.00
[0.7230 0.6684 0.5760 0.4843 0.3622 0.2445 0.1443]
epoch=  226  step= 2950  Loss=0.9608  cls_acc=92.38  best_map=46.00
[0.7217 0.6663 0.5697 0.4831 0.3621 0.2482 0.1489]
epoch=  230  step= 3000  Loss=0.9535  cls_acc=90.48  best_map=46.00
[0.7198 0.6623 0.5722 0.4802 0.3564 0.2432 0.1427]
epoch=  234  step= 3050  Loss=0.9538  cls_acc=91.43  best_map=46.00
[0.7249 0.6694 0.5775 0.4832 0.3619 0.2435 0.1450]
epoch=  238  step= 3100  Loss=0.9249  cls_acc=91.90  best_map=46.00
[0.7216 0.6647 0.5732 0.4812 0.3586 0.2409 0.1410]
epoch=  242  step= 3150  Loss=0.9280  cls_acc=90.95  best_map=46.00
