(AICL) root@4c91ca1b33d2:~/conda/share/doc/2026# CUDA_VISIBLE_DEVICES=0 sh ./scripts/train.sh
epoch=  157  step= 2050  Loss=0.9489  cls_acc=90.48  best_map=44.87
[0.7086 0.6529 0.5637 0.4786 0.3570 0.2439 0.1422]
epoch=  161  step= 2100  Loss=0.9372  cls_acc=90.95  best_map=44.96
[0.7118 0.6559 0.5633 0.4788 0.3585 0.2448 0.1435]
epoch=  165  step= 2150  Loss=0.9341  cls_acc=92.38  best_map=45.09
[0.7173 0.6592 0.5645 0.4813 0.3619 0.2427 0.1421]
epoch=  169  step= 2200  Loss=0.9346  cls_acc=92.86  best_map=45.27
[0.7070 0.6556 0.5666 0.4793 0.3546 0.2425 0.1406]
epoch=  173  step= 2250  Loss=0.9507  cls_acc=90.48  best_map=45.27
[0.7107 0.6561 0.5679 0.4832 0.3568 0.2421 0.1444]
epoch=  176  step= 2300  Loss=0.9368  cls_acc=90.95  best_map=45.27
[0.7146 0.6599 0.5698 0.4846 0.3600 0.2449 0.1447]
epoch=  180  step= 2350  Loss=0.9280  cls_acc=91.43  best_map=45.41
[0.7136 0.6604 0.5691 0.4798 0.3577 0.2413 0.1407]
epoch=  184  step= 2400  Loss=0.9184  cls_acc=91.43  best_map=45.41
[0.7250 0.6674 0.5760 0.4890 0.3627 0.2472 0.1474]
epoch=  188  step= 2450  Loss=0.8951  cls_acc=92.86  best_map=45.92
[0.7059 0.6492 0.5598 0.4688 0.3429 0.2314 0.1340]
epoch=  192  step= 2500  Loss=0.8976  cls_acc=90.48  best_map=45.92
[0.7213 0.6664 0.5731 0.4854 0.3616 0.2455 0.1480]
epoch=  196  step= 2550  Loss=0.8924  cls_acc=92.38  best_map=45.92
[0.7192 0.6650 0.5697 0.4852 0.3586 0.2467 0.1415]
epoch=  199  step= 2600  Loss=0.8674  cls_acc=90.95  best_map=45.92
[0.6983 0.6450 0.5534 0.4650 0.3423 0.2314 0.1322]
epoch=  203  step= 2650  Loss=0.8671  cls_acc=88.57  best_map=45.92
[0.7174 0.6628 0.5697 0.4795 0.3589 0.2414 0.1430]
epoch=  207  step= 2700  Loss=0.8533  cls_acc=91.90  best_map=45.92
[0.7154 0.6630 0.5702 0.4776 0.3573 0.2414 0.1402]
epoch=  211  step= 2750  Loss=0.8397  cls_acc=91.43  best_map=45.92
[0.7248 0.6694 0.5766 0.4889 0.3629 0.2488 0.1459]
epoch=  215  step= 2800  Loss=0.8443  cls_acc=92.38  best_map=45.96
[0.7234 0.6678 0.5778 0.4905 0.3620 0.2439 0.1444]
epoch=  219  step= 2850  Loss=0.8309  cls_acc=92.38  best_map=45.96
[0.7268 0.6712 0.5768 0.4930 0.3645 0.2458 0.1444]
epoch=  223  step= 2900  Loss=0.8122  cls_acc=92.38  best_map=46.03
[0.7205 0.6670 0.5749 0.4833 0.3584 0.2438 0.1425]
epoch=  226  step= 2950  Loss=0.7972  cls_acc=92.38  best_map=46.03
[0.7267 0.6711 0.5764 0.4866 0.3642 0.2462 0.1455]
epoch=  230  step= 3000  Loss=0.7869  cls_acc=92.38  best_map=46.03
[0.7187 0.6656 0.5708 0.4812 0.3596 0.2423 0.1397]
epoch=  234  step= 3050  Loss=0.7851  cls_acc=92.38  best_map=46.03
[0.7223 0.6691 0.5778 0.4859 0.3603 0.2445 0.1441]
epoch=  238  step= 3100  Loss=0.7656  cls_acc=92.38  best_map=46.03
[0.7246 0.6689 0.5782 0.4861 0.3607 0.2431 0.1413]
epoch=  242  step= 3150  Loss=0.7638  cls_acc=91.90  best_map=46.03
[0.7117 0.6595 0.5682 0.4768 0.3563 0.2427 0.1400]
epoch=  246  step= 3200  Loss=0.7622  cls_acc=92.38  best_map=46.03
[0.7132 0.6604 0.5662 0.4778 0.3586 0.2429 0.1432]
epoch=  249  step= 3250  Loss=0.7544  cls_acc=90.48  best_map=46.03
[0.7199 0.6663 0.5737 0.4808 0.3602 0.2434 0.1413]
epoch=  253  step= 3300  Loss=0.7425  cls_acc=90.48  best_map=46.03
[0.7306 0.6764 0.5783 0.4847 0.3664 0.2469 0.1450]
epoch=  257  step= 3350  Loss=0.7308  cls_acc=93.81  best_map=46.12
[0.7236 0.6696 0.5751 0.4845 0.3605 0.2423 0.1396]
epoch=  261  step= 3400  Loss=0.7190  cls_acc=91.90  best_map=46.12
[0.7238 0.6680 0.5763 0.4817 0.3607 0.2463 0.1407]
epoch=  265  step= 3450  Loss=0.7106  cls_acc=90.48  best_map=46.12
[0.7193 0.6629 0.5684 0.4773 0.3545 0.2427 0.1410]
epoch=  269  step= 3500  Loss=0.7191  cls_acc=90.95  best_map=46.12
^F^H[0.7275 0.6685 0.5738 0.4847 0.3621 0.2412 0.1464]
epoch=  273  step= 3550  Loss=0.6894  cls_acc=92.38  best_map=46.12
[0.7301 0.6736 0.5755 0.4843 0.3597 0.2429 0.1480]
epoch=  276  step= 3600  Loss=0.6936  cls_acc=91.43  best_map=46.12
[0.7248 0.6702 0.5781 0.4844 0.3617 0.2479 0.1411]
epoch=  280  step= 3650  Loss=0.6950  cls_acc=91.90  best_map=46.12
[0.7225 0.6694 0.5767 0.4845 0.3609 0.2452 0.1426]
epoch=  284  step= 3700  Loss=0.6720  cls_acc=91.90  best_map=46.12
[0.7343 0.6797 0.5830 0.4893 0.3649 0.2495 0.1463]
epoch=  288  step= 3750  Loss=0.6780  cls_acc=92.86  best_map=46.39
[0.7253 0.6693 0.5795 0.4825 0.3604 0.2473 0.1427]
